Id,S_NAME,D_NAME
24,Andaman & Nicobar,Andaman & Nicobar
27,Bihar,Bihar
28,Jharkhand,Jharkhand
26,Odisha,Odisha
25,Sikkim,Sikkim
1,West Bengal,East Midnapore
2,West Bengal,South 24 Parganas
3,West Bengal,Kolkata
4,West Bengal,Jhargram
5,West Bengal,West Midnapore
6,West Bengal,Hooghly
7,West Bengal,North 24 Parganas
8,West Bengal,Bankura
9,West Bengal,Purulia
10,West Bengal,East Burdwan
11,West Bengal,West Burdwan
12,West Bengal,Nadia
13,West Bengal,Birbhum
14,West Bengal,Murshidabad
15,West Bengal,Malda
16,West Bengal,South Dinajpur
17,West Bengal,North Dinajpur
18,West Bengal,Alipurduar
19,West Bengal,Jalpaiguri
20,West Bengal,Kalimpong
21,West Bengal,Darjeeling
22,West Bengal,Howrah
23,West Bengal,Coochbehar
